IN450A
Time,Source,Destination,Protocol,Length
0,192.168.1.9,99.86.129.122,TLSv1.2,97
0.000167,192.168.1.9,99.86.129.122,TCP,66
0.027513,99.86.129.122,192.168.1.9,TCP,66
0.027611,192.168.1.9,99.86.129.122,TCP,66
0.033517,99.86.129.122,192.168.1.9,TCP,66
0.540951,192.168.1.9,172.217.14.234,UDP,65
0.591881,172.217.14.234,192.168.1.9,UDP,62
0.774933,67.202.110.21,192.168.1.9,TLSv1.2,90
0.77494,67.202.110.21,192.168.1.9,TCP,66
0.775054,192.168.1.9,67.202.110.21,TCP,66
0.775055,192.168.1.9,67.202.110.21,TCP,66
0.775307,192.168.1.9,67.202.110.21,TLSv1.2,90
0.775507,192.168.1.9,67.202.110.21,TCP,66
0.841646,67.202.110.21,192.168.1.9,TCP,54
0.84165,67.202.110.21,192.168.1.9,TCP,54
0.909903,192.168.1.9,74.125.195.189,UDP,65
0.939623,74.125.195.189,192.168.1.9,UDP,64
1.378766,192.168.1.9,198.23.90.60,TLSv1.2,97
1.378911,192.168.1.9,198.23.90.60,TCP,66
1.42167,198.23.90.60,192.168.1.9,TCP,66
1.4218,192.168.1.9,198.23.90.60,TCP,66
1.679495,192.168.1.9,198.23.90.62,TLSv1.2,97
1.679667,192.168.1.9,198.23.90.62,TCP,66
1.719935,198.23.90.62,192.168.1.9,TCP,66
1.719941,198.23.90.62,192.168.1.9,TCP,66
1.720089,192.168.1.9,198.23.90.62,TCP,66
1.836006,104.254.148.166,192.168.1.9,TLSv1.2,97
1.836013,104.254.148.166,192.168.1.9,TCP,66
1.836125,192.168.1.9,104.254.148.166,TCP,66
1.836126,192.168.1.9,104.254.148.166,TCP,66
1.836367,192.168.1.9,104.254.148.166,TLSv1.2,97
1.836575,192.168.1.9,104.254.148.166,TCP,66
1.863964,104.254.148.166,192.168.1.9,TLSv1.2,97
1.863979,104.254.148.166,192.168.1.9,TCP,66
1.864084,192.168.1.9,104.254.148.166,TCP,66
1.86411,192.168.1.9,104.254.148.166,TCP,66
1.864255,192.168.1.9,104.254.148.166,TLSv1.2,97
1.864511,192.168.1.9,104.254.148.166,TCP,66
1.866105,104.254.148.166,192.168.1.9,TLSv1.2,97
1.866112,104.254.148.166,192.168.1.9,TCP,66
1.866202,192.168.1.9,104.254.148.166,TCP,66
1.86624,192.168.1.9,104.254.148.166,TCP,66
1.866404,192.168.1.9,104.254.148.166,TLSv1.2,97
1.866557,192.168.1.9,104.254.148.166,TCP,66
1.88197,104.254.148.166,192.168.1.9,TCP,54
1.881975,104.254.148.166,192.168.1.9,TCP,54
1.89812,192.168.1.2,224.0.0.251,MDNS,193
1.909989,104.254.148.166,192.168.1.9,TCP,54
1.909995,104.254.148.166,192.168.1.9,TCP,54
1.916397,104.254.148.166,192.168.1.9,TCP,54
1.916403,104.254.148.166,192.168.1.9,TCP,54
1.923584,192.168.1.9,169.60.125.155,TLSv1.2,97
1.923794,192.168.1.9,169.60.125.155,TCP,66
1.993291,192.168.1.9,192.168.1.2,MDNS,338
2.006969,169.60.125.155,192.168.1.9,TCP,66
2.00708,192.168.1.9,169.60.125.155,TCP,66
2.183261,192.168.1.9,192.168.1.16,TCP,176
2.189114,192.168.1.16,192.168.1.9,TCP,176
2.189233,192.168.1.9,192.168.1.16,TCP,66
2.71998,104.254.148.165,192.168.1.9,TLSv1.2,97
2.720189,192.168.1.9,104.254.148.165,TCP,66
2.72059,192.168.1.9,104.254.148.165,TLSv1.2,97
2.721017,192.168.1.9,104.254.148.165,TCP,66
2.724133,104.254.148.165,192.168.1.9,TCP,66
2.724141,104.254.148.165,192.168.1.9,TCP,66
2.72428,192.168.1.9,104.254.148.165,TCP,66
2.72428,192.168.1.9,104.254.148.165,TCP,66
2.769071,104.254.148.165,192.168.1.9,TCP,54
2.769074,104.254.148.165,192.168.1.9,TCP,54
2.769177,104.254.148.165,192.168.1.9,TCP,54
2.769393,104.254.148.165,192.168.1.9,TCP,54
3.127223,192.168.1.2,224.0.0.251,MDNS,423
3.707639,192.168.1.9,192.168.1.9,TCP,54
3.708053,192.168.1.9,192.168.1.9,TCP,54
3.708527,192.168.1.9,192.168.1.9,TCP,54
3.708866,192.168.1.9,192.168.1.9,TCP,54
3.709246,192.168.1.9,192.168.1.9,TCP,54
3.709594,192.168.1.9,192.168.1.9,TCP,54
3.709934,192.168.1.9,192.168.1.9,TCP,54
3.71037,192.168.1.9,192.168.1.9,TCP,54
3.710717,192.168.1.9,192.168.1.9,TCP,54
3.711059,192.168.1.9,192.168.1.9,TCP,54
3.711395,192.168.1.9,192.168.1.9,TCP,54
3.711751,192.168.1.9,192.168.1.9,TCP,54
3.71209,192.168.1.9,192.168.1.9,TCP,54
3.71243,192.168.1.9,192.168.1.9,TCP,54
3.712773,192.168.1.9,192.168.1.9,TCP,54
3.713101,192.168.1.9,192.168.1.9,TCP,54
3.713438,192.168.1.9,192.168.1.9,TCP,54
3.713751,192.168.1.9,192.168.1.9,TCP,54
3.714074,192.168.1.9,192.168.1.9,TCP,54
3.714397,192.168.1.9,192.168.1.9,TCP,54
3.714737,192.168.1.9,192.168.1.9,TCP,54
3.715054,192.168.1.9,192.168.1.9,TCP,54
3.715374,192.168.1.9,192.168.1.9,TCP,54
3.715703,192.168.1.9,192.168.1.9,TCP,54
3.716078,192.168.1.9,192.168.1.9,TCP,54
3.716508,192.168.1.9,192.168.1.9,TCP,54
3.716849,192.168.1.9,192.168.1.9,TCP,54
3.717181,192.168.1.9,192.168.1.9,TCP,54
3.717503,192.168.1.9,192.168.1.9,TCP,54
3.717826,192.168.1.9,192.168.1.9,TCP,54
3.718229,192.168.1.9,192.168.1.9,TCP,54
3.718574,192.168.1.9,192.168.1.9,TCP,54
3.718899,192.168.1.9,192.168.1.9,TCP,54
3.719213,192.168.1.9,192.168.1.9,TCP,54
3.719542,192.168.1.9,192.168.1.9,TCP,54
3.719868,192.168.1.9,192.168.1.9,TCP,54
3.720195,192.168.1.9,192.168.1.9,TCP,54
3.72066,192.168.1.9,192.168.1.9,TCP,54
3.720992,192.168.1.9,192.168.1.9,TCP,54
3.721326,192.168.1.9,192.168.1.9,TCP,54
3.721756,192.168.1.9,192.168.1.9,TCP,54
3.722082,192.168.1.9,192.168.1.9,TCP,54
3.722406,192.168.1.9,192.168.1.9,TCP,54
3.722751,192.168.1.9,192.168.1.9,TCP,54
3.723146,192.168.1.9,192.168.1.9,TCP,54
3.723528,192.168.1.9,192.168.1.9,TCP,54
3.723905,192.168.1.9,192.168.1.9,TCP,54
3.724237,192.168.1.9,192.168.1.9,TCP,54
3.724891,192.168.1.9,192.168.1.9,TCP,54
3.725714,192.168.1.9,192.168.1.9,TCP,54
